Inicio GRADUACAO,Fim GRADUACAO,Inicio MESTRADO,Fim MESTRADO,Inicio DOUTORADO,Fim DOUTORADO,Inicio POS-DOUTORADO,Fim POS-DOUTORADO,Pesquisador,Departamento,Nome de Citação,Titulo do artigo,Ano de Publicação,País de publicação,DOI,Titulo do periódico/revista,ISSN,Volume,Fascículo,Série,Página inicial,Página final,Local de publicação,Autores,Inicio,Data
1967.0,1970.0,,,1971,1974,1989.0,1989.0,116,Fisiologia,"MARKUS, R. P.",DUAL EFFECT OF CATECHOLAMINES AND CORTICOSTERONE CROSSTALK ON PINEAL GLAND MELATONIN SYNTHESIS,2017,,10.1159/000445189,NEUROENDOCRINOLOGY,283835,104,,2,126,134,,"Fernandes, Pedro A. ;Markus, Regina P. ;Tamura, Eduardo K. ;D'ARGENIO-GARCIA, LETÍCIA ;Muxel, Sandra M. ;Da Silveira Cruz-Machado, Sanseray ;Marçola, Marina ;CARVALHO-SOUSA, CLÁUDIA E. ;Cecon, Erika ;Ferreira, Zulma S.",,
1967.0,1970.0,,,1971,1974,1989.0,1989.0,116,Fisiologia,"MARKUS, R. P.",MELATONINERGIC SYSTEM IN PARKINSON?S DISEASE: FROM NEUROPROTECTION TO THE MANAGEMENT OF MOTOR AND NONMOTOR SYMPTOMS,2016,,10.1155/2016/3472032,Oxidative Medicine and Cellular Longevity (Print),19420900,2016,,,1,31,,"MACK, JOSIEL MILENO ;SCHAMNE, MARISSA GIOVANNA ;SAMPAIO, TUANE BAZANELLA ;PÉRTILE, RENATA APARECIDA NEDEL ;Fernandes, Pedro Augusto Carlos Magno ;Markus, Regina P. ;PREDIGER, RUI DANIEL",,
1967.0,1970.0,,,1971,1974,1989.0,1989.0,116,Fisiologia,"MARKUS, R. P.",SHORT SLEEP DURATION INCREASES SALIVARY IL-6 PRODUCTION,2016,,10.3109/07420528.2016.1167710,Chronobiology International,7420528,33,,,1,3,,"REINHARDT, ÉRICA LUI ;Fernandes, Pedro A. C. M. ;Markus, Regina P. ;FISCHER, FRIDA MARINA",,
1967.0,1970.0,,,1971,1974,1989.0,1989.0,116,Fisiologia,"MARKUS, R. P.",&#946;-ADRENOCEPTORS TRIGGER MELATONIN SYNTHESIS IN PHAGOCYTES,2018,,10.3390/ijms19082182,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,14220067,19,,8,2182,,,"PIRES-LAPA, MARCO ;CARVALHO-SOUSA, CLAUDIA ;Cecon, Erika ;FERNANDES, PEDRO ;MARKUS, REGINA",,
1967.0,1970.0,,,1971,1974,1989.0,1989.0,116,Fisiologia,"MARKUS, R. P.",AN ANTIBODY-BASED PLATFORM FOR MELATONIN QUANTIFICATION,2018,,10.1016/j.colsurfb.2018.07.006,COLLOIDS AND SURFACES B-BIOINTERFACES,9277765,171,,,94,100,,"BRAZACA, LAÍS C. ;BRAMORSKI, CAMILA B. ;CANCINO-BERNARDI, JULIANA ;Da Silveira Cruz-Machado, Sanseray ;Markus, Regina P. ;JANEGITZ, BRUNO C. ;ZUCOLOTTO, VALTENCIR",,
1967.0,1970.0,,,1971,1974,1989.0,1989.0,116,Fisiologia,"MARKUS, R. P.",EXPRESSION OF THE CIRCADIAN CLOCK GENE BMAL1 POSITIVELY CORRELATES WITH ANTITUMOR IMMUNITY AND PATIENT SURVIVAL IN METASTATIC MELANOMA,2018,,10.3389/fonc.2018.00185,FRONTIERS IN ONCOLOGY,2234943X,8,,,108,,,"DE ASSIS, LEONARDO VINÍCIUS MONTEIRO ;KINKER, GABRIELA SARTI ;MORAES, MARIA NATHÁLIA ;Markus, Regina P. ;Fernandes, Pedro Augusto ;CASTRUCCI, ANA MARIA DE LAURO",,
1967.0,1970.0,,,1971,1974,1989.0,1989.0,116,Fisiologia,"MARKUS, R. P.",IMMUNE-PINEAL AXIS - ACUTE INFLAMMATORY RESPONSES COORDINATE MELATONIN SYNTHESIS BY PINEALOCYTES AND PHAGOCYTES.,2018,,10.1111/bph.14083,BRITISH JOURNAL OF PHARMACOLOGY,71188,X,,,1,,,"Markus, Regina P ;FERNANDES, PEDRO A ;KINKER, GABRIELA S ;Da Silveira Cruz-Machado, Sanseray ;Marçola, Marina",,
1967.0,1970.0,,,1971,1974,1989.0,1989.0,116,Fisiologia,"MARKUS, R. P.",DAILY CORTICOSTERONE RHYTHM MODULATES PINEAL FUNCTION THROUGH NF&#954;B-RELATED GENE TRANSCRIPTIONAL PROGRAM,2017,,10.1038/s41598-017-02286-y,Scientific Reports,20452322,7,,1,2091,,,"Da Silveira Cruz-Machado, Sanseray ;Tamura, Eduardo K. ;CARVALHO-SOUSA, CLAUDIA E. ;ROCHA, VANDERLEI AMADEU ;Pinato, Luciana ;FERNANDES, PEDRO A. C. ;Markus, Regina P.",,
1967.0,1970.0,,,1971,1974,1989.0,1989.0,116,Fisiologia,"MARKUS, R. P.",DAILY ONSET OF LIGHT AND DARKNESS DIFFERENTIALLY CONTROLS HEMATOPOIETIC STEM CELL DIFFERENTIATION AND MAINTENANCE,2018,,10.1016/j.stem.2018.08.002,Cell Stem Cell,19345909,23,,,572,585,,"GOLAN, KARIN ;XIE, STEPHANIE ;FLORES-FIGUEROA, EUGENIA ;GUR-COHEN, SHIRI ;ITKIN, TOMER ;LUDIN-TAL, AYA ;MASSALHA, HASSAN ;BERNSHTEIN, BIANA ;CIECHANOWICZ, ANDRZEJ K. ;BRANDIS, ALEXANDER ;MEHLMAN, TEVIE ;KUMARI, ANJU ;BHATTACHARYA, SUDITI ;BERTAGNA, MAYLA ;CHENG, HUI ;PETROVICH-KOPITMAN, EKATERINA ;JANUS, TOMASZ ;KAUSHANSKY, NATHALI ;CHENG, TAO ;SAGI, IRIT ;RATAJCZAK, MARIUSZ Z. ;MÉNDEZ-FERRER, SIMÓN ;KOLLET, ORIT ;DICK, JOHN E. ;Markus, Regina P. ;LAPIDOT, TSVEE ;KHATIB-MASSALHA, EMAN ;SUBRAMANIAM, MOHANA DEVI ;Ferreira, Zulma S. ;AVEMARIA, FRANCESCA ;RZESZOTEK, SYLWIA ;GARCÍA-GARCÍA, ANDRÉS",,
1967.0,1970.0,,,1971,1974,1989.0,1989.0,116,Fisiologia,"MARKUS, R. P.","NIGHT WORK EFFECTS ON SALIVARY CYTOKINES TNF, IL-1&#946; AND IL-6",2018,,10.1080/07420528.2018.1515771,CHRONOBIOLOGY INTERNATIONAL,7420528,19,,,1,16,,"REINHARDT, ÉRICA LUI ;Fernandes, Pedro Augusto Carlos Magno ;Markus, Regina P. ;FISCHER, FRIDA MARINA",,
