Pesquisador,Departamento,Titulo do artigo,Ano de Publicação,País de publicação,DOI,Titulo do periódico/revista,ISSN,Volume,Fascículo,Série,Página inicial,Página final,Local de publicação,Autores,Ínicio
222,Botanica,Polishing entire stems and roots using sandpaper under water: An alternative method for macroscopic analyses,2021,,10.1002/aps3.11421,Applications in Plant Sciences,21680450,9,,5,aps3.11421,,,"BARBOSA, ANTONIO C. F. ;GEROLAMO, CAIAN S. ;LIMA, ANDRÉ C. ;ANGYALOSSY, VERONICA ;PACE, MARCELO R.",2017
222,Botanica,The wood anatomy of Sapindales: diversity and evolution of wood characters,2022,,10.1007/s40415-021-00764-2,Brazilian Journal of Botany,1008404,5,,,1,58,,"PACE, MARCELO R. ;GEROLAMO, CAIAN S. ;ONYENEDUM, JOYCE G. ;TERRAZAS, TERESA ;VICTORIO, MARIANA P. ;CUNHA NETO, ISRAEL L. ;ANGYALOSSY, VERONICA",2017
222,Botanica,Diameters of phloem sieve elements can predict stem growth rates of woody plants,2022,,10.1093/treephys/tpac022,Tree Physiology,17584469,42,,3,1,24,,"Tang Y. ;Yin S. ;PACE, M. R. ;GEROLAMO, C. S. ;NOGUEIRA, A.N ;Zuntini A. ;LOHMANN, L. G. ;Plath M. ;Liesche J.",2017
223,Botanica,"Estudos taxonômicos das Xyridaceae no estado do Paraná, Brasil",2018,,10.1590/2175-7860201869416,Rodriguesia,21757860,69,,4,1737,1769,,"LOZANO, E. D. ;SMIDT, E. C. ;WANDERLEY, M. G. L.",2017
223,Botanica,Lauraceae Along an Altitudinal Gradient in Southern Brazil,2019,,10.1590/2179-8087.063717,FLORAM,21798087,26,,4,1,12,,"BROTTO, M. L. ;LOZANO, E. D. ;MARINERO, F. E. C. ;UHLMANN, A. ;BLUM, C. T. ;RODERJAN, C. V.",2017
223,Botanica,"Riqueza, composição e estrutura da comunidade arbustivo-regenerante em diferentes estágios sucessionais de uma Floresta Subtropical do Brasil",2017,,10.1590/2236-8906-71/2016,HOEHNEA,22368906,44,,4,490,504,,"FELITTO, G. ;LOZANO, E. D.;LOZANO, EDUARDO DAMASCENO;LOZANO, EDUARDO D. ;CANESTRARO, B. K. ;KERSTEN, R. A.",2017
223,Botanica,Brazilian Flora 2020: Innovation and collaboration to meet Target 1 of the Global Strategy for Plant Conservation (GSPC),2018,,10.1590/2175-7860201869402,Rodriguesia,21757860,69,,4,1513,1527,,"BFG - The Brazil Flora Group ;LOZANO, E. D.",2017
223,Botanica,<p>A new species of Xyris </em>(Xyridaceae) from Brazil</strong></p>,2016,,10.11646/phytotaxa.245.1.11,Phytotaxa,11793155,245,,1,84,,,"LOZANO, EDUARDO DAMASCENO ;SMIDT, ERIC DE CAMARGO ;WANDERLEY, MARIA DAS GRAÇAS",2017
223,Botanica,"Bixaceae do Estado do Paraná, Brasil",2020,,10.1590/2236-8906-67/2019,HOEHNEA,22368906,47,,,1,8,,"ANTAR, G. M. ;LOZANO, E. D. ;SANO, P. T.",2017
223,Botanica,"Xyris serrana (Xyridaceae), a new species endemic to the Campos de Cima da Serra, southern Brazil",2021,,10.1590/0102-33062020abb0409,ACTA BOTANICA BRASILICA,1677941X,35,,,577,581,,"LOZANO, E. D. ;WANDERLEY, M. G. L. ;SANO, P. T.",2017
