Pesquisador,Departamento,Titulo do artigo,Ano de Publicação,País de publicação,DOI,Titulo do periódico/revista,ISSN,Volume,Fascículo,Série,Página inicial,Página final,Local de publicação,Autores,Ínicio
200,Genética,Motor Recovery and Synaptic Preservation after Ventral Root Avulsion and Repair with a Fibrin Sealant Derived from Snake Venom,2013,,10.1371/journal.pone.0063260,PLoS One,19326203,8,,5,e63260,,,"BARBIZAN, ROBERTA ;CASTRO, MATEUS V. ;RODRIGUES, ANTÔNIO C. ;BARRAVIERA, BENEDITO ;FERREIRA, RUI S. ;OLIVEIRA, ALEXANDRE L. R.",2020
200,Genética,Enhanced peripheral nerve regeneration by the combination of a polycaprolactone tubular prosthesis and a scaffold of collagen with supramolecular organization,2013,,10.1002/brb3.145,Brain and Behavior,21623279,3,,,,,,"MATURANA, LUIZ G. ;PIERUCCI, AMAURI ;SIMÕES, GUSTAVO F. ;VIDIGAL, MATEUS ;DUEK, ELIANA A. R. ;VIDAL, BENEDICTO C. ;OLIVEIRA, ALEXANDRE L. R.",2020
200,Genética,"Long-Term Spinal Ventral Root Reimplantation, but not Bone Marrow Mononuclear Cell Treatment, Positively Influences Ultrastructural Synapse Recovery and Motor Axonal Regrowth",2014,,10.3390/ijms151119535,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,14220067,15,,11,19535,19551,,"BARBIZAN, ROBERTA ;CASTRO, MATEUS ;JR., RUI ;BARRAVIERA, BENEDITO ;OLIVEIRA, ALEXANDRE",2020
200,Genética,Influence of Delivery Method on Neuroprotection by Bone Marrow Mononuclear Cell Therapy following Ventral Root Reimplantation with Fibrin Sealant,2014,,10.1371/journal.pone.0105712,PLoS One,19326203,9,,8,e105712,,,"BARBIZAN, ROBERTA ;CASTRO, MATEUS V. ;BARRAVIERA, BENEDITO ;FERREIRA, RUI S. ;OLIVEIRA, ALEXANDRE L. R.",2020
200,Genética,Astroglioma conditioned medium increases synaptic elimination and correlates with major histocompatibility complex of class I (MHC I) upregulation in PC12Cells,2016,,10.1016/j.neulet.2016.10.019,Neuroscience Letters (Print),3043940,634,,,160,167,,"INÁCIO, RODRIGO FABRIZZIO ;ZANON, RENATA GACIELLE ;CASTRO, MATEUS VIDIGAL DE ;SOUZA, HENRIQUE MARQUES DE ;BAJGELMAN, MARCIO CHAIM ;VERINAUD, LIANA ;OLIVEIRA, ALEXANDRE LEITE RODRIGUES DE",2020
200,Genética,Direct Spinal Ventral Root Repair following Avulsion: Effectiveness of a New Heterologous Fibrin Sealant on Motoneuron Survival and Regeneration,2016,,10.1155/2016/2932784,NEURAL PLASTICITY,20905904,2016,,,1,16,,"VIDIGAL DE CASTRO, MATEUS ;BARBIZAN, ROBERTA ;SEABRA FERREIRA, RUI ;BARRAVIERA, BENEDITO ;LEITE RODRIGUES DE OLIVEIRA, ALEXANDRE",2020
200,Genética,Multiple uses of fibrin sealant for nervous system treatment following injury and disease,2017,,10.1186/s40409-017-0103-1,The Journal of Venomous Animals and Toxins Including Tropical Diseases (Online),16789199,23,,1,1,,,"BISCOLA, NATALIA PERUSSI ;CARTAROZZI, LUCIANA POLITTI ;ULIAN-BENITEZ, SUZANA ;BARBIZAN, ROBERTA ;CASTRO, MATEUS VIDIGAL ;SPEJO, ALINE BARROSO ;FERREIRA, RUI SEABRA ;BARRAVIERA, BENEDITO ;OLIVEIRA, ALEXANDRE LEITE RODRIGUES",2020
200,Genética,Transgenic human embryonic stem cells overexpressing FGF2 stimulate neuroprotection following spinal cord ventral root avulsion,2017,,10.1016/j.expneurol.2017.04.009,EXPERIMENTAL NEUROLOGY,144886,1,,,1,,,"ARAÚJO, MARTA ROCHA ;KYRYLENKO, SERGIY ;SPEJO, ALINE BARROSO ;DE CASTRO, MATEUS VIDIGAL ;JUNIOR, RUI SEABRA FERREIRA ;BARRAVIERA, BENEDITO ;DE OLIVEIRA, ALEXANDRE LEITE RODRIGUES",2020
200,Genética,Combination of heterologous fibrin sealant and bioengineered human embryonic stem cells to improve regeneration following autogenous sciatic nerve grafting repair,2018,,10.1186/s40409-018-0147-x,JOURNAL OF VENOMOUS ANIMALS AND TOXINS INCLUDING TROPICAL DISEASES,16789199,24,,1,1,16,,"MOZAFARI, ROGHAYEH ;KYRYLENKO, SERGIY ;CASTRO, MATEUS VIDIGAL ;FERREIRA, RUI SEABRA ;BARRAVIERA, BENEDITO ;OLIVEIRA, ALEXANDRE LEITE RODRIGUES",2020
200,Genética,Reflex arc recovery after spinal cord dorsal root repair with platelet rich plasma (PRP),2019,,10.1016/j.brainresbull.2019.07.024,BRAIN RESEARCH BULLETIN,3619230,152,,,212,224,,"CASTRO, MATEUS VIDIGAL DE ;SILVA, MONÍZE VALÉRIA RAMOS DA ;CHIAROTTO, GABRIELA BORTOLANÇA ;VOLPE, BRUNO BOSH ;SANTANA, MARIA HELENA ;MALHEIROS LUZO, ÂNGELA CRISTINA ;OLIVEIRA, ALEXANDRE LEITE RODRIGUES DE",2020
200,Genética,Fibrin biopolymer as scaffold candidate to treat bone defects in rats,2019,,10.1590/1678-9199-jvatitd-2019-0027,JOURNAL OF VENOMOUS ANIMALS AND TOXINS INCLUDING TROPICAL DISEASES,16789199,25,,,0,,,"CASSARO, CLAUDIA VILALVA ;FERREIRA JR., RUI SEABRA ;BARRAVIERA, BENEDITO ;JUSTULIN JR., LUIS ANTONIO ;LIMA, PATRÍCIA RODRIGUES DE ;GOLIM, MARJORIE DE ASSIS ;BISCOLA, NATÁLIA PERUSSI ;CASTRO, MATEUS VIDIGAL DE ;OLIVEIRA, ALEXANDRE LEITE RODRIGUES DE ;DOICHE, DANUTA PULZ ;PEREIRA, ELENIZE JAMAS",2020
200,Genética,Toll-like receptor 4 (TLR4) influences the glial reaction in the spinal cord and the neural response to injury following peripheral nerve crush,2019,,10.1016/j.brainresbull.2019.11.008,BRAIN RESEARCH BULLETIN,3619230,155,,,67,80,,"RIBEIRO, PATRÍCIA ;CASTRO, MATEUS V. ;PEREZ, MATHEUS ;CARTAROZZI, LUCIANA P. ;SPEJO, ALINE B. ;CHIAROTTO, GABRIELA B. ;AUGUSTO, TAIZE M. ;OLIVEIRA, ALEXANDRE L.R.",2020
200,Genética,Zika virus infection causes temporary paralysis in adult mice with motor neuron synaptic retraction and evidence for proximal peripheral neuropathy,2019,,10.1038/s41598-019-55717-3,Scientific Reports,20452322,9,,1,19531,,,"MORREY, JOHN D. ;OLIVEIRA, ALEXANDRE L. R. ;WANG, HONG ;ZUKOR, KATHERINE ;DE CASTRO, MATEUS VIDIGAL ;SIDDHARTHAN, VENKATRAMAN",2020
200,Genética,Spinal Reflex Recovery after Dorsal Rhizotomy and Repair with Platelet-Rich Plasma (PRP) Gel Combined with Bioengineered Human Embryonic Stem Cells (hESCs),2020,,10.1155/2020/8834360,STEM CELLS INTERNATIONAL (ONLINE),16879678,2020,,,1,16,,"CASTRO, MATEUS VIDIGAL DE ;SILVA, MONÍZE VALÉRIA RAMOS DA ;CHIAROTTO, GABRIELA BORTOLANÇA ;SANTANA, MARIA HELENA ANDRADE ;LUZO, ÂNGELA CRISTINA MALHEIROS ;KYRYLENKO, SERGIY ;OLIVEIRA, ALEXANDRE LEITE RODRIGUES DE",2020
200,Genética,Extreme phenotypes approach to investigate host genetics and COVID-19 outcomes,2021,,10.1590/1678-4685-gmb-2020-0302,GENETICS AND MOLECULAR BIOLOGY (ONLINE VERSION),16784685,44,,1 suppl 1,1,,,"NASLAVSKY, MICHEL SATYA ;PRANDO, CAROLINA ;CUNHA-NETO, EDÉCIO ;CONDINO-NETO, ANTONIO ;PASSOS-BUENO, MARIA RITA ;ZATZ, MAYANA ;VIDIGAL, MATEUS ;MATOS, LARISSA DO RÊGO BARROS ;CÓRIA, VIVIAN ROMANHOLI ;BATISTA JUNIOR, PEDRO BENEDITO ;RAZUK, ÁLVARO ;SALDIVA, PAULO HILÁRIO NASCIMENTO ;DOLHNIKOFF, MARISA ;SCHIDLOWSKI, LAIRE",2020
200,Genética,Autoantibodies neutralizing type I IFNs are present in ~</b> 4% of uninfected individuals over 70 years old and account for ~</b> 20% of COVID-19 deaths,2021,,10.1126/sciimmunol.abl4340,Science Immunology,24709468,6,,62,eabl4340,,,"BASTARD, PAUL ;GARCIA-PRAT, MARINA ;KLOCPERK, ADAM ;KANN, NELLI Y. ;SHCHERBINA, ANNA ;LAU, YU-LUNG ;LEUNG, DANIEL ;COULONGEAT, MATTHIEU ;MARLET, JULIEN ;KONING, RUTGER ;REYES, LUIS FELIPE ;CHAUVINEAU-GRENIER, ANGÉLIQUE ;BIZIEN, LUCY ;VENET, FABIENNE ;MONNERET, GUILLAUME ;NUSSENZWEIG, MICHEL C. ;ARRESTIER, ROMAIN ;BOUDHABHAY, IDRIS ;BARIS-FELDMAN, HAGIT ;HAGIN, DAVID ;WAUTERS, JOOST ;MEYTS, ISABELLE ;DYER, ADAM H. ;PARRA-MARTÍNEZ, ALBA ;KENNELLY, SEAN P. ;BOURKE, NOLLAIG M. ;HALWANI, RABIH ;SHARIF-ASKARI, NARJES SAHEB ;DORGHAM, KARIM ;SALLETTE, JÉROME ;SEDKAOUI, SOUAD MEHLAL ;ALKHATER, SUZAN ;RIGO-BONNIN, RAÚL ;MORANDEIRA, FRANCISCO ;YANG, RUI ;ROUSSEL, LUCIE ;VINH, DONALD C. ;OSTROWSKI, SISSE RYE ;CONDINO-NETO, ANTONIO ;PRANDO, CAROLINA ;BONRADENKO, ANASTASIIA ;SPAAN, ANDRÁS N. ;GILARDIN, LAURENT ;FELLAY, JACQUES ;LYONNET, STANISLAS ;HALJASMÄGI, LIIS ;BILGUVAR, KAYA ;LIFTON, RICHARD P. ;MANE, SHRIKANT ;ANDERSON, MARK S. ;BOISSON, BERTRAND ;BÉZIAT, VIVIEN ;ZHANG, SHEN-YING ;VANDREAKOS, EVANGELOS ;HERMINE, OLIVIER ;PUJOL, AURORA ;MIGAUD, MÉLANIE ;PETERSON, PÄRT ;MOGENSEN, TRINE H. ;ROWEN, LEE ;MOND, JAMES ;DEBETTE, STÉPHANIE ;DE LAMBALLERIE, XAVIER ;DUVAL, XAVIER ;MENTRÉ, FRANCE ;ZINS, MARIE ;SOLER-PALACIN, PERE ;SÄREKANNU, KARITA ;COLOBRAN, ROGER ;GOROCHOV, GUY ;SOLANICH, XAVIER ;SUSEN, SOPHIE ;MARTINEZ-PICADO, JAVIER ;RAOULT, DIDIER ;VASSE, MARC ;GREGERSEN, PETER K. ;PIEMONTI, LORENZO ;RODRÍGUEZ-GALLEGO, CARLOS ;MASLOVSKAJA, JULIA ;NOTARANGELO, LUIGI D. ;SU, HELEN C. ;KISAND, KAI ;OKADA, SATOSHI ;PUEL, ANNE ;JOUANGUY, EMMANUELLE ;RICE, CHARLES M. ;TIBERGHIEN, PIERRE ;ZHANG, QIAN ;COBAT, AURÉLIE ;DE PROST, NICOLAS ;ABEL, LAURENT ;CASANOVA, JEAN-LAURENT ;TANDJAOUI-LAMBIOTTE, YACINE ;GERVAIS, ADRIAN ;LUYT, CHARLES-EDOUARD ;AMADOR-BORRERO, BLANCA ;GAUDET, ALEXANDRE ;POISSY, JULIEN ;MOREL, PASCAL ;RICHARD, PASCALE ;COGNASSE, FABRICE ;TROYA, JESUS ;TROUILLET-ASSANT, SOPHIE ;BELOT, ALEXANDRE ;LE VOYER, TOM ;SAKER, KAHINA ;GARÇON, PIERRE ;RIVIÈRE, JACQUES G. ;LAGIER, JEAN-CHRISTOPHE ;GENTILE, STÉPHANIE ;ROSEN, LINDSEY B. ;SHAW, ELANA ;MORIO, TOMOHIRO ;TANAKA, JUNKO ;DALMAU, DAVID ;ROSAIN, JÉRÉMIE ;THARAUX, PIERRE-LOUIS ;SENE, DAMIEN ;STEPANIAN, ALAIN ;MEGARBANE, BRUNO ;TRIANTAFYLLIA, VASILIKI ;FEKKAR, ARNAUD ;HEATH, JAMES R. ;FRANCO, JOSÉ LUIS ;ANAYA, JUAN-MANUEL ;SOLÉ-VIOLÁN, JORDI ;PHILIPPOT, QUENTIN ;IMBERTI, LUISA ;BIONDI, ANDREA ;BONFANTI, PAOLO ;CASTAGNOLI, RICCARDO ;DELMONTE, OTTAVIA M. ;ZHANG, YU ;SNOW, ANDREW L. ;HOLLAND, STEVEN M. ;BIGGS, CATHERINE ;MONCADA-VÉLEZ, MARCELA ;MANRY, JÉRÉMY ;ARIAS, ANDRÉS AUGUSTO ;LORENZO, LAZARO ;BOUCHERIT, SORAYA ;COULIBALY, BOUBACAR ;ANGLICHEAU, DANY ;PLANAS, ANNA M. ;HAERYNCK, FILOMEEN ;DUVLIS, SOTIRIJA ;NUSSBAUM, ROBERT L. ;OZCELIK, TAYFUN ;MICHAILIDIS, ELEFTHERIOS ;KELES, SEVGI ;BOUSFIHA, AHMED A. ;EL BAKKOURI, JALILA ;RAMIREZ-SANTANA, CAROLINA ;PAUL, STÉPHANE ;PAN-HAMMARSTRÖM, QIANG ;HAMMARSTRÖM, LENNART ;DUPONT, ANNABELLE ;KUROLAP, ALINA ;METZ, CHRISTINE N. ;HOFFMANN, HANS-HEINRICH ;AIUTI, ALESSANDRO ;CASARI, GIORGIO ;LAMPASONA, VITO ;CICERI, FABIO ;BARREIROS, LUCILA A. ;DOMINGUEZ-GARRIDO, ELENA ;VIDIGAL, MATEUS ;ZATZ, MAYANA ;VAN DE BEEK, DIEDERIK ;SAHANIC, SABINA ;ETO, SHOHEI ;TANCEVSKI, IVAN ;STEPANOVSKYY, YURII ;BOYARCHUK, OKSANA ;NUKUI, YOKO ;TSUMURA, MIYUKI ;VIDAUR, LORETO ;TANGYE, STUART G. ;BURREL, SONIA ;DUFFY, DARRAGH ;QUINTANA-MURCI, LLUIS",2020
200,Genética,MHC Variants Associated With Symptomatic Versus Asymptomatic SARS-CoV-2 Infection in Highly Exposed Individuals,2021,,10.3389/fimmu.2021.742881,Frontiers in Immunology,16643224,12,,,1,2,,"CASTELLI, ERICK C. ;MENDES-JUNIOR, CELSO T. ;MEYER, DIOGO ;NUNES, KELLY ;MATOS, LARISSA R. B. ;SILVA, MONIZE V. R. ;WANG, JAQUELINE Y. T. ;ESPOSITO, JOYCE ;CORIA, VIVIAN R. ;BORTOLIN, RAUL H. ;HIRATA, MARIO H. ;DE CASTRO, MATEUS V. ;MAGAWA, JHOSIENE Y. ;CUNHA-NETO, EDECIO ;COELHO, VERÔNICA ;SANTOS, KEITY S. ;MARIN, MARIA LUCIA C. ;KALIL, JORGE ;MITNE-NETO, MIGUEL ;MACIEL, RUI M. B. ;PASSOS-BUENO, MARIA RITA ;ZATZ, MAYANA ;NASLAVSKY, MICHEL S. ;SCLIAR, MARILIA O. ;SILVA, NAYANE S. B. ;ANDRADE, HELOISA S. ;SOUZA, ANDREIA S. ;PEREIRA, RAPHAELA N. ;CASTRO, CAMILA F. B.",2020
200,Genética,Men are the main COVID-19 transmitters: behavior or biology?,2022,,10.1007/s44192-022-00004-3,Discover Mental Health,27314383,2,,1,1,,,"SILVA, MONIZE V. R. ;DE CASTRO, MATEUS V. ;PASSOS-BUENO, MARIA RITA ;OTTO, PAULO A. ;NASLAVSKY, MICHEL S. ;ZATZ, MAYANA",2020
200,Genética,Development of a device useful to reproducibly produce large quantities of viable and uniform stem cell spheroids with controlled diameters,2022,,10.1016/j.msec.2022.112685,Materials Science & Engineering C-Materials for Biological Applications,9284931,1,,,112685,,,"DECARLI, MONIZE CAIADO ;MORAES, ÂNGELA MARIA ;DE CASTRO, MATEUS VIDIGAL ;NOGUEIRA, JÚLIA ADAMI ;NAGAHARA, MARIANA HARUE T. ;WESTIN, CECÍLIA BUZATTO ;DE OLIVEIRA, ALEXANDRE LEITE R. ;SILVA, JORGE VICENTE L. ;MORONI, LORENZO ;MOTA, CARLOS",2020
200,Genética,Recurrence of COVID-19 associated with reduced T-cell responses in a monozygotic twin pair,2022,,10.1098/rsob.210240,Open Biology,20462441,12,,2,1,12,,"DE CASTRO, MATEUS V. ;YAMAMOTO, MARCIO M. ;LIMA, ARIANE C. ;SILVA, MONIZE V. R. ;MATOS, LARISSA R. B. ;CORIA, VIVIAN R. ;CASTELLI, ERICK C. ;SCLIAR, MARILIA O. ;KURAMOTO, ANDREIA ;BRUNO, FERNANDA R. ;JACINTHO, LUCAS C. ;SANTOS, KEITY S. ;NUNES, KELLY ;WANG, JAQUELINE Y. T. ;COELHO, VERONICA P. ;NETO, MIGUEL MITNE ;MACIEL, RUI M. B. ;NASLAVSKY, MICHEL S. ;PASSOS-BUENO, MARIA RITA ;BOSCARDIN, SILVIA B. ;ROSA, DANIELA S. ;KALIL, JORGE ;APOSTOLICO, JULIANA S. ;ZATZ, MAYANA ;CUNHA-NETO, EDECIO ;FERNANDES, EDGAR R. ;ALMEIDA, RAFAEL R. ;LEVIN, GABRIEL ;MAGAWA, JHOSIENE Y. ;NUNES, JOÃO PAULO S. ;BRUNI, MIRIAN",2020
200,Genética,The 90 plus: longevity and COVID-19 survival,2022,,10.1038/s41380-022-01461-6,MOLECULAR PSYCHIATRY,13594184,1,,1,1,12,,"ZATZ, MAYANA ;SILVA, MONIZE V. R. ;DE CASTRO, MATEUS V. ;NASLAVSKY, MICHEL S.",2020
200,Genética,Importance of major histocompatibility complex of class I (MHC-I) expression for astroglial reactivity and stability of neural circuits in vitro,2017,,10.1016/j.neulet.2017.03.038,Neuroscience Letters (Print),3043940,647,,,97,103,,"BOMBEIRO, ANDRÉ LUIS ;HELL, RAFAELA CHITARRA RODRIGUES ;SIMÕES, GUSTAVO FERREIRA ;CASTRO, MATEUS VIDIGAL DE ;OLIVEIRA, ALEXANDRE LEITE RODRIGUES DE",2020
201,Genética,Fibrillin-1 mg-lpn Marfan Syndrome Mutation Associates with Preserved Proteostasis and Bypass of a Protein Disulfide Isomerase-dependent Quality Checkpoint,2015,,10.1016/j.biocel.2015.12.009,International Journal of Biochemistry & Cell Biology,13572725,71,,,81,91,,"MEIRELLES, THAYNA ;ARAUJO, THAÍS L.S. ;NOLASCO, PATRÍCIA ;MORETTI, ANA I.S. ;GUIDO, MARIA C. ;DEBBAS, VICTOR ;PEREIRA, LYGIA V. ;LAURINDO, FRANCISCO R.",2019
201,Genética,Conserved Gene Microsynteny Unveils Functional Interaction Between Protein Disulfide Isomerase and Rho Guanine-Dissociation Inhibitor Families,2017,,10.1038/s41598-017-16947-5,Scientific Reports,20452322,7,,1,1/,18,,"MORETTI, ANA I. S. ;FERNANDES, DENISE C. ;JO, HANJOONG ;TRAN, NGOC-VINH ;EBERSBERGER, INGO ;BRANDES, RALF P. ;BONATTO, DIEGO ;LAURINDO, FRANCISCO R. M. ;PAVANELLI, JESSYCA C. ;NOLASCO, PATRÍCIA ;LEISEGANG, MATTHIAS S. ;TANAKA, LEONARDO Y. ;FERNANDES, CAROLINA G. ;WOSNIAK, JOÃO ;KAJIHARA, DANIELA ;DIAS, MATHEUS H.",2019
201,Genética,Effect of the Antioxidant Lipoic Acid in Aortic Phenotype in a Marfan Syndrome Mouse Model,2018,,10.1155/2018/3967213,Oxidative Medicine and Cellular Longevity,19420900,2018,,,1,16,,"GUIDO, MARIA C. ;PEREIRA, LYGIA V. ;LAURINDO, FRANCISCO R. ;DEBBAS, VICTOR ;SALEMI, VERA M. ;TAVARES, ELAINE R. ;MEIRELLES, THAYNA ;ARAUJO, THAÍS L. S. ;NOLASCO, PATRICIA ;FERREIRA-FILHO, JULIO C. A. ;TAKIMURA, CELSO K.",2019
201,Genética,Mitochondrial morphology regulates organellar Ca 2+</sup> uptake and changes cellular Ca 2+</sup> homeostasis,2019,,10.1096/fj.201901136r,FASEB JOURNAL,8926638,33,,,fj.201901136R,,,"KOWALTOWSKI, ALICIA J. ;BRUNI-CARDOSO, ALEXANDRE ;SHIRIHAI, ORIAN S. ;MENEZES-FILHO, SERGIO L. ;ASSALI, ESSAM A. ;GONÇALVES, ISABELA G. ;CABRAL-COSTA, JOÃO VICTOR ;ABREU, PHABLO ;MILLER, NATHANAEL ;NOLASCO, PATRICIA ;LAURINDO, FRANCISCO R. M.",2019
201,Genética,Impaired vascular smooth muscle cell force-generating capacity and phenotypic deregulation in Marfan Syndrome mice,2019,,10.1016/j.bbadis.2019.165587,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE,9254439,1866,,1,165587,,,"NOLASCO, PATRÍCIA ;ALENCAR, ADRIANO ;LAURINDO, FRANCISCO RAFAEL MARTINS ;FERNANDES, CAROLINA GONÇALVES ;RIBEIRO-SILVA, JOÃO CARLOS ;OLIVEIRA, PERCILLIA V.S. ;SACRINI, MARIANA ;DE BRITO, ISIS VASCONCELOS ;DE BESSA, TIPHANY CORALIE ;PEREIRA, LYGIA V. ;TANAKA, LEONARDO Y.",2019
201,Genética,Human induced pluripotent stem cells as a tool for disease modeling and drug screening for COVID-19,2021,,10.1590/1678-4685-gmb-2020-0198,GENETICS AND MOLECULAR BIOLOGY (ONLINE VERSION),16784685,44,,1 suppl 1,1,8,,"NOLASCO, PATRICIA ;BORSOI, JULIANA ;MORAES, CAROLINA BORSOI ;FREITAS-JUNIOR, LUCIO H. ;PEREIRA, LYGIA VEIGA",2019
201,Genética,Mice born to females with oocyte-specific deletion of mitofusin 2 have increased weight gain and impaired glucose homeostasis,2020,,10.1093/molehr/gaaa071,MOLECULAR HUMAN REPRODUCTION,13609947,x,,x,x,x,,"GARCIA, BRUNA M ;SUGIYAMA, FABRÍCIA H C ;TOSTES, KATIANE ;PANDEY, ANAND K ;GONÇALVES, LUCIANA M ;PERECIN, FELIPE ;MEIRELLES, FLÁVIO V ;FERRAZ, JOSÉ BENTO S ;VANZELA, EMERIELLE C ;BOSCHERO, ANTÔNIO C ;GUIMARÃES, FRANCISCO E G ;MACHADO, THIAGO S ;ABDULKADER, FERNANDO ;LAURINDO, FRANCISCO R M ;KOWALTOWSKI, ALICIA J ;CHIARATTI, MARCOS R ;CARVALHO, KAREN F ;NOLASCO, PATRÍCIA ;NOCITI, RICARDO P ;DEL COLLADO, MAITE ;CAPO BIANCO, MARIA J D ;GREJO, MATEUS P ;NETO, JOSÉ DJACI AUGUSTO",2019
201,Genética,Dynamic Crosstalk between Vascular Smooth Muscle Cells and the Aged Extracellular Matrix,2021,,10.3390/ijms221810175,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,14220067,22,,18,10175,,,"RIBEIRO-SILVA, JOAO CARLOS ;NOLASCO, PATRICIA ;KRIEGER, JOSE EDUARDO ;MIYAKAWA, AYUMI AUREA",2019
202,Genética,MMP-2 Regulates Rat Ventral Prostate Development in Vitro,2010,,10.1002/dvdy.22222,Developmental Dynamics,10588388,239,,,737,746,,"BRUNI-CARDOSO, A. ;ROSA-RIBEIRO, R.;Rosa-Ribeiro, Rafaela;RIBEIRO, RAFAELA DA ROSA;RIBEIRO, RAFAELA ROSA;ROSA'RIBEIRO, RAFAELA;ROSA RIBEIRO, RAFAELA ;PASCOAL, V. D. B. ;de Thomaz, A. ;Cesar, C. ;CARVALHO, H. F.",2016
202,Genética,MMP-2 contributes to the development of the mouse ventral prostate by impacting epithelial growth and morphogenesis.,2010,,10.1002/dvdy.22382,Developmental Dynamics,10588388,239,,,2386,2392,,"BRUNI-CARDOSO, A. ;Lynch, C.C. ;ROSA-RIBEIRO, R.;Rosa-Ribeiro, Rafaela;RIBEIRO, RAFAELA DA ROSA;RIBEIRO, RAFAELA ROSA;ROSA'RIBEIRO, RAFAELA;ROSA RIBEIRO, RAFAELA ;Matrisian, L.M ;CARVALHO, H. F.",2016
202,Genética,Neonatal exposure to high doses of 17ß-estradiol results in inhibition of heparanase-1 expression in the adult prostate,2011,,10.1007/s00418-011-0860-9,Histochemistry and Cell Biology,9486143,136,,,609,615,,"Augusto, Taize M. ;Rosa-Ribeiro, Rafaela ;Carvalho, Hernandes F.",2016
202,Genética,Desquamation is a novel phenomenon for collective prostate epithelial cell deletion after castration,2013,,10.1007/s00418-013-1152-3,Histochemistry and Cell Biology,9486143,14,,,213,,,"Rosa-Ribeiro, Rafaela ;BARBOSA, GUILHERME OLIVEIRA ;KÜHNE, FABIANA ;Carvalho, Hernandes F.",2016
202,Genética,Transcription Factors Involved in Prostate Gland Adaptation to Androgen Deprivation,2014,,10.1371/journal.pone.0097080,Plos One,19326203,9,,6,e97080,,,"Rosa-Ribeiro, Rafaela ;NISHAN, UMAR ;VIDAL, RAMON OLIVEIRA ;BARBOSA, GUILHERME OLIVEIRA ;REIS, LEONARDO OLIVEIRA ;CESAR, CARLOS LENZ ;Carvalho, Hernandes F.",2016
202,Genética,Fructooligosaccharide intake promotes epigenetic changes in the intestinal mucosa in growing and ageing rats,2017,,10.1007/s00394-017-1435-x,EUROPEAN JOURNAL OF NUTRITION,14366207,,,,1,12,,"LIMA, GLAUCIA CARIELO ;AUGUSTO, FABIO ;MARÓSTICA JUNIOR, MÁRIO ROBERTO ;VIEIRA, VIVIAN CRISTINE CORREA ;CAZARIN, CINTHIA BAÚ BETIM ;RIBEIRO, RAFAELA DA ROSA ;JUNIOR, STANISLAU BOGUSZ ;DE ALBUQUERQUE, CIBELE LIMA ;VIDAL, RAMON OLIVEIRA ;NETTO, CLAUDIA CARDOSO ;YAMADA, ÁUREO TATSUMI",2016
202,Genética,"Desquamation takes center stage at the origin of proliferative inflammatory atrophy, epithelial-mesenchymal transition and stromal growth in benign prostate hyperplasia",2017,,10.1002/cbin.10867,CELL BIOLOGY INTERNATIONAL,10656995,41,,,1265,1270,,"FERRUCCI, DANILO ;BIANCARDI, MANOEL F ;NISHAN, UMAR ;ROSA-RIBEIRO, R.;Rosa-Ribeiro, Rafaela;RIBEIRO, RAFAELA DA ROSA;RIBEIRO, RAFAELA ROSA;ROSA'RIBEIRO, RAFAELA;ROSA RIBEIRO, RAFAELA ;CARVALHO, H. F.",2016
202,Genética,The impairment in the NLRP3-induced NO secretion renders astrocytes highly permissive to replication,2019,,10.1002/JLB.4AB1118-416RR,JOURNAL OF LEUKOCYTE BIOLOGY,7415400,8,,,JLB.4AB1118-416RR,,,"PACHECO, ALINE L. ;VICENTINI, GABRIELLA ;MATTEUCCI, KELY C. ;RIBEIRO, RAFAELA ROSA ;WEINLICH, RICARDO ;BORTOLUCI, KARINA R.",2016
202,Genética,Castration-induced prostate epithelial cell apoptosis results from targeted oxidative stress attack of M1 142</sub> -macrophages,2019,,10.1002/jcp.28544,JOURNAL OF CELLULAR PHYSIOLOGY,219541,2,,,2,,,"BARBOSA, GUILHERME O. ;DAMAS'SOUZA, DANILO M. ;BRUNI'CARDOSO, ALEXANDRE ;Augusto, Taize M. ;CORRÊA'DA'SILVA, FELIPE ;MORAES'VIEIRA, PEDRO M. ;STACH'MACHADO, DAGMAR R. ;FELISBINO, SERGIO L. ;MENEZES, GUSTAVO B. ;CESAR, CARLOS L. ;Carvalho, Hernandes F. ;SILVA, JULIETE A. F. ;SIQUEIRA'BERTI, ALINE ;NISHAN, UMAR ;ROSA'RIBEIRO, RAFAELA ;OLIVEIRA, SILVIA B. P. ;BARATTI, MARIANA O. ;FERRUCCI, DANILO ;SANTANA, JULIO C. O.",2016
202,Genética,Transcription regulators are transiently expressed during the prostate gland adaptation to the hypoandrogenic environment.,2019,,10.14670/HH-18-105,HISTOLOGY AND HISTOPATHOLOGY,16995848,18105,,,1,,,"NISHAN, UMAR ;ROSA-RIBEIRO, R.;Rosa-Ribeiro, Rafaela;RIBEIRO, RAFAELA DA ROSA;RIBEIRO, RAFAELA ROSA;ROSA'RIBEIRO, RAFAELA;ROSA RIBEIRO, RAFAELA ;CESAR, C.L. ;CARVALHO, H. F.",2016
