Pesquisador,Inicio GRADUACAO,Fim GRADUACAO,Inicio MESTRADO,Fim MESTRADO,Inicio DOUTORADO,Fim DOUTORADO
347,2008,2013.0,2013.0,2015.0,2017.0,
348,2008,2009.0,2013.0,2015.0,2016.0,2020.0
349,2013,2017.0,2018.0,,,
350,2007,2010.0,2012.0,2015.0,2017.0,
351,1998,2002.0,2011.0,2013.0,2017.0,
352,2009,2013.0,2015.0,2017.0,2018.0,
353,2010,2013.0,2014.0,2016.0,2016.0,
354,2016,2019.0,,,2019.0,
355,2011,2014.0,2016.0,2018.0,2018.0,
356,2017,2017.0,2019.0,2020.0,2020.0,
357,2014,2017.0,2018.0,2020.0,2020.0,
358,2008,2012.0,2014.0,2016.0,2016.0,2022.0
359,2010,2014.0,2015.0,2017.0,2017.0,
360,2007,2011.0,2013.0,2015.0,2020.0,
361,2012,2016.0,2016.0,2019.0,2019.0,
362,2008,2011.0,2013.0,2015.0,2016.0,
363,2007,2010.0,2013.0,2015.0,,
364,2009,2013.0,2014.0,2017.0,2018.0,
365,2009,2013.0,2013.0,2016.0,,
366,2006,2013.0,2014.0,2015.0,2016.0,
367,2011,2013.0,2018.0,2020.0,,
368,2012,2016.0,2016.0,2018.0,2019.0,
369,2012,2016.0,2017.0,2019.0,2019.0,
370,2009,2013.0,2014.0,2017.0,2018.0,
371,2009,2012.0,2014.0,2016.0,2017.0,
372,2012,2017.0,2016.0,2018.0,2019.0,
373,2007,2012.0,2013.0,2015.0,2016.0,
374,2012,2017.0,2017.0,2020.0,2020.0,
375,2013,2017.0,2017.0,2019.0,2021.0,
376,2006,2011.0,2013.0,2015.0,2018.0,
377,2002,2007.0,2016.0,2018.0,2019.0,
378,2011,2014.0,2015.0,2017.0,2019.0,
379,2012,2014.0,2015.0,2018.0,2018.0,
380,2019,2019.0,2017.0,2019.0,2020.0,
381,2007,2007.0,2013.0,2015.0,2021.0,
382,2012,2014.0,2014.0,2016.0,2017.0,
383,2009,2012.0,2015.0,2017.0,2017.0,
384,2009,2013.0,2014.0,2017.0,2017.0,
385,2008,2014.0,2014.0,2017.0,2017.0,
386,2010,2016.0,2016.0,2018.0,2019.0,
387,2003,2010.0,2011.0,2014.0,2016.0,
388,2008,2012.0,2014.0,2016.0,2018.0,
389,2011,2015.0,2016.0,2018.0,2018.0,
390,2010,2014.0,2015.0,2017.0,2019.0,
391,2011,2015.0,2016.0,2018.0,2018.0,
392,2011,2016.0,2017.0,2019.0,2019.0,
393,2013,2014.0,2016.0,2018.0,2020.0,
394,2014,2018.0,2018.0,2020.0,2020.0,
395,2014,2017.0,2018.0,2020.0,2020.0,
396,2011,2016.0,2017.0,2019.0,2019.0,
